"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",2579,1626,307,387,21
"2020-04-02",2942,1812,345,441,24
"2020-04-03",3327,2001,385,499,29
"2020-04-04",3730,2190,426,560,33
"2020-04-05",4151,2376,468,623,38
"2020-04-06",4584,2558,509,688,44
"2020-04-07",5029,2732,550,754,50
"2020-04-08",5482,2898,590,822,56
"2020-04-09",5940,3053,629,891,63
"2020-04-10",6400,3196,667,960,70
"2020-04-11",6860,3325,703,1029,77
"2020-04-12",7318,3441,737,1098,85
"2020-04-13",7772,3541,768,1166,92
"2020-04-14",8219,3626,797,1233,100
"2020-04-15",8657,3696,824,1299,109
"2020-04-16",9086,3751,848,1363,117
"2020-04-17",9504,3791,869,1426,125
"2020-04-18",9910,3815,887,1486,134
"2020-04-19",10302,3826,903,1545,142
"2020-04-20",10680,3824,915,1602,151
"2020-04-21",11045,3809,925,1657,160
"2020-04-22",11394,3782,933,1709,168
"2020-04-23",11728,3744,938,1759,176
"2020-04-24",12047,3696,940,1807,185
"2020-04-25",12350,3639,940,1853,193
"2020-04-26",12639,3573,938,1896,201
"2020-04-27",12912,3501,933,1937,209
"2020-04-28",13171,3422,927,1976,217
"2020-04-29",13415,3338,919,2012,224
"2020-04-30",13646,3249,909,2047,232
"2020-05-01",13862,3156,898,2079,239
"2020-05-02",14066,3060,885,2110,246
"2020-05-03",14257,2962,871,2138,252
"2020-05-04",14435,2863,856,2165,259
"2020-05-05",14603,2762,840,2190,265
"2020-05-06",14759,2661,823,2214,271
"2020-05-07",14904,2559,806,2236,277
"2020-05-08",15040,2458,788,2256,283
"2020-05-09",15166,2358,769,2275,288
"2020-05-10",15283,2260,750,2292,293
"2020-05-11",15392,2163,730,2309,298
"2020-05-12",15492,2067,710,2324,303
"2020-05-13",15586,1974,690,2338,307
"2020-05-14",15672,1883,670,2351,312
"2020-05-15",15752,1795,650,2363,316
"2020-05-16",15825,1709,630,2374,320
"2020-05-17",15893,1626,610,2384,323
"2020-05-18",15956,1546,591,2393,327
"2020-05-19",16013,1468,571,2402,330
"2020-05-20",16066,1393,552,2410,334
"2020-05-21",16115,1322,533,2417,337
"2020-05-22",16159,1253,514,2424,339
"2020-05-23",16200,1187,496,2430,342
"2020-05-24",16238,1123,478,2436,345
"2020-05-25",16272,1063,460,2441,347
"2020-05-26",16304,1005,443,2446,350
"2020-05-27",16333,950,427,2450,352
"2020-05-28",16359,898,410,2454,354
"2020-05-29",16383,848,394,2457,356
"2020-05-30",16405,801,379,2461,358
"2020-05-31",16425,756,364,2464,359
"2020-06-01",16443,713,349,2466,361
"2020-06-02",16460,673,335,2469,363
"2020-06-03",16475,635,322,2471,364
"2020-06-04",16489,598,308,2473,365
"2020-06-05",16502,564,296,2475,367
"2020-06-06",16513,532,283,2477,368
"2020-06-07",16523,501,272,2479,369
"2020-06-08",16533,472,260,2480,370
"2020-06-09",16541,445,249,2481,371
"2020-06-10",16549,419,238,2482,372
"2020-06-11",16556,395,228,2483,373
"2020-06-12",16563,372,218,2484,374
"2020-06-13",16568,350,209,2485,375
"2020-06-14",16574,330,200,2486,375
"2020-06-15",16578,311,191,2487,376
"2020-06-16",16583,293,183,2487,377
"2020-06-17",16587,276,175,2488,377
"2020-06-18",16590,260,167,2489,378
"2020-06-19",16593,245,159,2489,379
"2020-06-20",16596,231,152,2489,379
"2020-06-21",16599,217,145,2490,380
"2020-06-22",16601,205,139,2490,380
"2020-06-23",16603,193,133,2490,381
"2020-06-24",16605,182,127,2491,381
"2020-06-25",16607,172,121,2491,381
"2020-06-26",16608,162,115,2491,382
