"Day","Total Detected","Current Active","Current Hospitalized","Total Hospitalized","Total Detected Deaths"
"2020-04-01",729,492,88,104,7
"2020-04-02",871,578,105,126,9
"2020-04-03",1029,672,123,149,10
"2020-04-04",1204,772,143,176,12
"2020-04-05",1394,878,164,204,13
"2020-04-06",1600,988,186,235,16
"2020-04-07",1821,1101,210,268,18
"2020-04-08",2054,1215,234,303,20
"2020-04-09",2299,1330,259,340,23
"2020-04-10",2554,1443,284,378,26
"2020-04-11",2817,1553,309,418,30
"2020-04-12",3087,1658,334,458,33
"2020-04-13",3361,1758,358,499,37
"2020-04-14",3638,1852,382,541,41
"2020-04-15",3917,1938,405,583,45
"2020-04-16",4196,2016,426,624,50
"2020-04-17",4473,2086,447,666,54
"2020-04-18",4747,2146,466,707,59
"2020-04-19",5017,2197,483,748,64
"2020-04-20",5283,2239,499,787,69
"2020-04-21",5542,2272,514,826,74
"2020-04-22",5794,2295,526,864,79
"2020-04-23",6039,2310,537,901,84
"2020-04-24",6276,2316,547,936,89
"2020-04-25",6504,2313,554,971,95
"2020-04-26",6724,2304,560,1004,100
"2020-04-27",6935,2287,564,1035,105
"2020-04-28",7136,2263,567,1065,110
"2020-04-29",7328,2234,569,1094,115
"2020-04-30",7511,2199,568,1122,120
"2020-05-01",7685,2159,567,1148,125
"2020-05-02",7850,2115,564,1173,130
"2020-05-03",8005,2067,560,1196,134
"2020-05-04",8152,2015,555,1218,139
"2020-05-05",8291,1961,549,1239,143
"2020-05-06",8421,1905,543,1258,148
"2020-05-07",8544,1847,535,1277,152
"2020-05-08",8658,1787,526,1294,156
"2020-05-09",8766,1726,517,1310,160
"2020-05-10",8866,1665,507,1325,164
"2020-05-11",8960,1604,497,1339,167
"2020-05-12",9047,1543,486,1352,171
"2020-05-13",9129,1481,475,1364,174
"2020-05-14",9204,1421,464,1376,177
"2020-05-15",9275,1361,452,1386,180
"2020-05-16",9340,1303,440,1396,183
"2020-05-17",9400,1245,428,1405,186
"2020-05-18",9456,1189,416,1413,189
"2020-05-19",9508,1134,404,1421,192
"2020-05-20",9556,1080,392,1428,194
"2020-05-21",9600,1028,380,1435,196
"2020-05-22",9640,978,368,1441,199
"2020-05-23",9678,930,356,1447,201
"2020-05-24",9712,883,344,1452,203
"2020-05-25",9744,838,333,1457,205
"2020-05-26",9773,795,321,1461,207
"2020-05-27",9799,753,310,1465,208
"2020-05-28",9824,713,299,1469,210
"2020-05-29",9846,675,288,1472,211
"2020-05-30",9867,639,277,1475,213
"2020-05-31",9886,604,267,1478,214
"2020-06-01",9903,571,257,1480,216
"2020-06-02",9919,540,247,1483,217
"2020-06-03",9933,510,237,1485,218
"2020-06-04",9946,481,228,1487,219
"2020-06-05",9958,454,219,1489,220
"2020-06-06",9969,428,210,1490,221
"2020-06-07",9979,404,202,1492,222
"2020-06-08",9988,381,194,1493,223
"2020-06-09",9996,359,186,1494,224
"2020-06-10",10004,339,178,1496,225
"2020-06-11",10011,319,171,1497,225
"2020-06-12",10017,301,163,1498,226
"2020-06-13",10022,283,157,1498,227
"2020-06-14",10028,267,150,1499,227
"2020-06-15",10032,252,143,1500,228
"2020-06-16",10036,237,137,1501,228
"2020-06-17",10040,223,131,1501,229
"2020-06-18",10044,210,126,1502,229
"2020-06-19",10047,198,120,1502,230
"2020-06-20",10050,187,115,1502,230
"2020-06-21",10052,176,110,1503,231
"2020-06-22",10054,165,105,1503,231
"2020-06-23",10057,156,100,1504,231
"2020-06-24",10058,147,96,1504,232
"2020-06-25",10060,138,92,1504,232
"2020-06-26",10062,130,87,1504,232
"2020-06-27",10063,123,84,1505,233
"2020-06-28",10064,116,80,1505,233
"2020-06-29",10065,109,76,1505,233
"2020-06-30",10066,103,73,1505,233
"2020-07-01",10067,97,69,1505,234
